instance,m,rank,lp_obj,rho,position,aircraft_j
airland10,2,1,1155.900000,1,40,83
airland10,2,1,1155.900000,1,41,85
airland10,2,1,1155.900000,1,42,87
airland10,2,1,1155.900000,1,43,90
airland10,2,1,1155.900000,1,44,94
airland10,2,1,1155.900000,1,45,93
airland10,2,1,1155.900000,1,46,97
airland10,2,1,1155.900000,1,47,96
airland10,2,1,1155.900000,1,48,102
airland10,2,1,1155.900000,1,49,100
airland10,2,1,1155.900000,1,50,101
airland10,2,1,1155.900000,1,51,103
airland10,2,1,1155.900000,1,52,105
airland10,2,1,1155.900000,1,53,107
airland10,2,1,1155.900000,1,54,106
airland10,2,1,1155.900000,1,55,111
airland10,2,1,1155.900000,1,56,116
airland10,2,1,1155.900000,1,57,121
airland10,2,1,1155.900000,1,58,117
airland10,2,1,1155.900000,1,59,120
airland10,2,1,1155.900000,1,60,118
airland10,2,1,1155.900000,1,61,123
airland10,2,1,1155.900000,1,62,124
airland10,2,1,1155.900000,1,63,126
airland10,2,1,1155.900000,1,64,128
airland10,2,1,1155.900000,1,65,131
airland10,2,1,1155.900000,1,66,130
airland10,2,1,1155.900000,1,67,133
airland10,2,1,1155.900000,1,68,134
airland10,2,1,1155.900000,1,69,138
airland10,2,1,1155.900000,1,70,136
airland10,2,1,1155.900000,1,71,140
airland10,2,1,1155.900000,1,72,146
airland10,2,1,1155.900000,1,73,149
airland10,2,1,1155.900000,1,74,147
airland10,2,1,1155.900000,1,75,148
airland10,2,1,1155.900000,2,1,2
airland10,2,1,1155.900000,2,2,0
airland10,2,1,1155.900000,2,3,3
airland10,2,1,1155.900000,2,4,8
airland10,2,1,1155.900000,2,5,6
airland10,2,1,1155.900000,2,6,9
airland10,2,1,1155.900000,2,7,10
airland10,2,1,1155.900000,2,8,15
airland10,2,1,1155.900000,2,9,13
airland10,2,1,1155.900000,2,10,17
airland10,2,1,1155.900000,2,11,19
airland10,2,1,1155.900000,2,12,21
airland10,2,1,1155.900000,2,13,25
airland10,2,1,1155.900000,2,14,27
airland10,2,1,1155.900000,2,15,26
airland10,2,1,1155.900000,2,16,29
airland10,2,1,1155.900000,2,17,32
airland10,2,1,1155.900000,2,18,31
airland10,2,1,1155.900000,2,19,33
airland10,2,1,1155.900000,2,20,36
airland10,2,1,1155.900000,2,21,38
airland10,2,1,1155.900000,2,22,40
airland10,2,1,1155.900000,2,23,42
airland10,2,1,1155.900000,2,24,44
airland10,2,1,1155.900000,2,25,47
airland10,2,1,1155.900000,2,26,46
airland10,2,1,1155.900000,2,27,50
airland10,2,1,1155.900000,2,28,51
airland10,2,1,1155.900000,2,29,49
airland10,2,1,1155.900000,2,30,53
airland10,2,1,1155.900000,2,31,54
airland10,2,1,1155.900000,2,32,58
airland10,2,1,1155.900000,2,33,62
airland10,2,1,1155.900000,2,34,59
airland10,2,1,1155.900000,2,35,67
airland10,2,1,1155.900000,2,36,61
airland10,2,1,1155.900000,2,37,69
airland10,2,1,1155.900000,2,38,71
airland10,2,1,1155.900000,2,39,72
airland10,2,1,1155.900000,2,40,77
airland10,2,1,1155.900000,2,41,75
airland10,2,1,1155.900000,2,42,74
airland10,2,1,1155.900000,2,43,79
airland10,2,1,1155.900000,2,44,81
airland10,2,1,1155.900000,2,45,84
airland10,2,1,1155.900000,2,46,86
airland10,2,1,1155.900000,2,47,88
airland10,2,1,1155.900000,2,48,89
airland10,2,1,1155.900000,2,49,91
airland10,2,1,1155.900000,2,50,92
airland10,2,1,1155.900000,2,51,95
airland10,2,1,1155.900000,2,52,98
airland10,2,1,1155.900000,2,53,99
airland10,2,1,1155.900000,2,54,104
airland10,2,1,1155.900000,2,55,108
airland10,2,1,1155.900000,2,56,109
airland10,2,1,1155.900000,2,57,110
airland10,2,1,1155.900000,2,58,113
airland10,2,1,1155.900000,2,59,112
airland10,2,1,1155.900000,2,60,114
airland10,2,1,1155.900000,2,61,115
airland10,2,1,1155.900000,2,62,119
airland10,2,1,1155.900000,2,63,122
airland10,2,1,1155.900000,2,64,125
airland10,2,1,1155.900000,2,65,127
airland10,2,1,1155.900000,2,66,132
airland10,2,1,1155.900000,2,67,129
airland10,2,1,1155.900000,2,68,137
airland10,2,1,1155.900000,2,69,135
airland10,2,1,1155.900000,2,70,139
airland10,2,1,1155.900000,2,71,141
airland10,2,1,1155.900000,2,72,142
airland10,2,1,1155.900000,2,73,143
airland10,2,1,1155.900000,2,74,144
airland10,2,1,1155.900000,2,75,145
airland10,2,2,1166.160000,1,1,5
airland10,2,2,1166.160000,1,2,1
airland10,2,2,1166.160000,1,3,7
airland10,2,2,1166.160000,1,4,6
airland10,2,2,1166.160000,1,5,11
airland10,2,2,1166.160000,1,6,12
airland10,2,2,1166.160000,1,7,14
airland10,2,2,1166.160000,1,8,16
airland10,2,2,1166.160000,1,9,18
airland10,2,2,1166.160000,1,10,23
airland10,2,2,1166.160000,1,11,20
airland10,2,2,1166.160000,1,12,22
airland10,2,2,1166.160000,1,13,24
airland10,2,2,1166.160000,1,14,28
airland10,2,2,1166.160000,1,15,30
airland10,2,2,1166.160000,1,16,35
airland10,2,2,1166.160000,1,17,34
airland10,2,2,1166.160000,1,18,37
airland10,2,2,1166.160000,1,19,39
airland10,2,2,1166.160000,1,20,41
airland10,2,2,1166.160000,1,21,43
airland10,2,2,1166.160000,1,22,45
airland10,2,2,1166.160000,1,23,48
airland10,2,2,1166.160000,1,24,52
airland10,2,2,1166.160000,1,25,55
airland10,2,2,1166.160000,1,26,56
airland10,2,2,1166.160000,1,27,63
airland10,2,2,1166.160000,1,28,65
airland10,2,2,1166.160000,1,29,57
airland10,2,2,1166.160000,1,30,60
airland10,2,2,1166.160000,1,31,64
airland10,2,2,1166.160000,1,32,68
airland10,2,2,1166.160000,1,33,66
airland10,2,2,1166.160000,1,34,70
airland10,2,2,1166.160000,1,35,78
airland10,2,2,1166.160000,1,36,73
airland10,2,2,1166.160000,1,37,76
airland10,2,2,1166.160000,1,38,80
airland10,2,2,1166.160000,1,39,82
airland10,2,2,1166.160000,1,40,83
airland10,2,2,1166.160000,1,41,85
airland10,2,2,1166.160000,1,42,87
airland10,2,2,1166.160000,1,43,90
airland10,2,2,1166.160000,1,44,94
airland10,2,2,1166.160000,1,45,93
airland10,2,2,1166.160000,1,46,97
airland10,2,2,1166.160000,1,47,96
airland10,2,2,1166.160000,1,48,102
airland10,2,2,1166.160000,1,49,100
airland10,2,2,1166.160000,1,50,101
airland10,2,2,1166.160000,1,51,103
airland10,2,2,1166.160000,1,52,105
airland10,2,2,1166.160000,1,53,107
airland10,2,2,1166.160000,1,54,106
airland10,2,2,1166.160000,1,55,111
airland10,2,2,1166.160000,1,56,116
airland10,2,2,1166.160000,1,57,121
airland10,2,2,1166.160000,1,58,117
airland10,2,2,1166.160000,1,59,120
airland10,2,2,1166.160000,1,60,118
airland10,2,2,1166.160000,1,61,123
airland10,2,2,1166.160000,1,62,124
airland10,2,2,1166.160000,1,63,126
airland10,2,2,1166.160000,1,64,128
airland10,2,2,1166.160000,1,65,131
airland10,2,2,1166.160000,1,66,130
airland10,2,2,1166.160000,1,67,133
airland10,2,2,1166.160000,1,68,134
airland10,2,2,1166.160000,1,69,138
airland10,2,2,1166.160000,1,70,136
airland10,2,2,1166.160000,1,71,140
airland10,2,2,1166.160000,1,72,146
airland10,2,2,1166.160000,1,73,149
airland10,2,2,1166.160000,1,74,147
airland10,2,2,1166.160000,1,75,148
airland10,2,2,1166.160000,2,1,2
airland10,2,2,1166.160000,2,2,0
airland10,2,2,1166.160000,2,3,3
airland10,2,2,1166.160000,2,4,8
airland10,2,2,1166.160000,2,5,4
airland10,2,2,1166.160000,2,6,9
airland10,2,2,1166.160000,2,7,10
airland10,2,2,1166.160000,2,8,15
airland10,2,2,1166.160000,2,9,13
airland10,2,2,1166.160000,2,10,17
airland10,2,2,1166.160000,2,11,19
airland10,2,2,1166.160000,2,12,21
airland10,2,2,1166.160000,2,13,25
airland10,2,2,1166.160000,2,14,27
airland10,2,2,1166.160000,2,15,26
airland10,2,2,1166.160000,2,16,29
airland10,2,2,1166.160000,2,17,32
airland10,2,2,1166.160000,2,18,31
airland10,2,2,1166.160000,2,19,33
airland10,2,2,1166.160000,2,20,36
airland10,2,2,1166.160000,2,21,38
airland10,2,2,1166.160000,2,22,40
airland10,2,2,1166.160000,2,23,42
airland10,2,2,1166.160000,2,24,44
airland10,2,2,1166.160000,2,25,47
airland10,2,2,1166.160000,2,26,46
airland10,2,2,1166.160000,2,27,50
airland10,2,2,1166.160000,2,28,51
airland10,2,2,1166.160000,2,29,49
airland10,2,2,1166.160000,2,30,53
airland10,2,2,1166.160000,2,31,54
airland10,2,2,1166.160000,2,32,58
airland10,2,2,1166.160000,2,33,62
airland10,2,2,1166.160000,2,34,59
airland10,2,2,1166.160000,2,35,67
airland10,2,2,1166.160000,2,36,61
airland10,2,2,1166.160000,2,37,69
airland10,2,2,1166.160000,2,38,71
airland10,2,2,1166.160000,2,39,72
airland10,2,2,1166.160000,2,40,77
airland10,2,2,1166.160000,2,41,75
airland10,2,2,1166.160000,2,42,74
airland10,2,2,1166.160000,2,43,79
airland10,2,2,1166.160000,2,44,81
airland10,2,2,1166.160000,2,45,84
airland10,2,2,1166.160000,2,46,86
airland10,2,2,1166.160000,2,47,88
airland10,2,2,1166.160000,2,48,89
airland10,2,2,1166.160000,2,49,91
airland10,2,2,1166.160000,2,50,92
airland10,2,2,1166.160000,2,51,95
airland10,2,2,1166.160000,2,52,98
airland10,2,2,1166.160000,2,53,99
airland10,2,2,1166.160000,2,54,104
airland10,2,2,1166.160000,2,55,108
airland10,2,2,1166.160000,2,56,109
airland10,2,2,1166.160000,2,57,110
airland10,2,2,1166.160000,2,58,113
airland10,2,2,1166.160000,2,59,112
airland10,2,2,1166.160000,2,60,114
airland10,2,2,1166.160000,2,61,115
airland10,2,2,1166.160000,2,62,119
airland10,2,2,1166.160000,2,63,122
airland10,2,2,1166.160000,2,64,125
airland10,2,2,1166.160000,2,65,127
airland10,2,2,1166.160000,2,66,132
airland10,2,2,1166.160000,2,67,129
airland10,2,2,1166.160000,2,68,137
airland10,2,2,1166.160000,2,69,135
airland10,2,2,1166.160000,2,70,139
airland10,2,2,1166.160000,2,71,141
airland10,2,2,1166.160000,2,72,142
airland10,2,2,1166.160000,2,73,143
airland10,2,2,1166.160000,2,74,144
airland10,2,2,1166.160000,2,75,145
airland10,2,3,1166.160000,1,1,5
airland10,2,3,1166.160000,1,2,1
airland10,2,3,1166.160000,1,3,7
airland10,2,3,1166.160000,1,4,6
airland10,2,3,1166.160000,1,5,11
airland10,2,3,1166.160000,1,6,12
airland10,2,3,1166.160000,1,7,14
airland10,2,3,1166.160000,1,8,16
airland10,2,3,1166.160000,1,9,18
airland10,2,3,1166.160000,1,10,23
airland10,2,3,1166.160000,1,11,20
airland10,2,3,1166.160000,1,12,22
airland10,2,3,1166.160000,1,13,24
airland10,2,3,1166.160000,1,14,28
airland10,2,3,1166.160000,1,15,30
airland10,2,3,1166.160000,1,16,35
airland10,2,3,1166.160000,1,17,34
airland10,2,3,1166.160000,1,18,37
airland10,2,3,1166.160000,1,19,39
airland10,2,3,1166.160000,1,20,41
airland10,2,3,1166.160000,1,21,43
airland10,2,3,1166.160000,1,22,45
airland10,2,3,1166.160000,1,23,48
airland10,2,3,1166.160000,1,24,52
airland10,2,3,1166.160000,1,25,55
airland10,2,3,1166.160000,1,26,56
airland10,2,3,1166.160000,1,27,63
airland10,2,3,1166.160000,1,28,65
airland10,2,3,1166.160000,1,29,57
airland10,2,3,1166.160000,1,30,60
airland10,2,3,1166.160000,1,31,64
airland10,2,3,1166.160000,1,32,68
airland10,2,3,1166.160000,1,33,66
airland10,2,3,1166.160000,1,34,70
airland10,2,3,1166.160000,1,35,78
airland10,2,3,1166.160000,1,36,73
airland10,2,3,1166.160000,1,37,76
airland10,2,3,1166.160000,1,38,80
airland10,2,3,1166.160000,1,39,82
airland10,2,3,1166.160000,1,40,83
airland10,2,3,1166.160000,1,41,85
airland10,2,3,1166.160000,1,42,87
airland10,2,3,1166.160000,1,43,90
airland10,2,3,1166.160000,1,44,94
airland10,2,3,1166.160000,1,45,93
airland10,2,3,1166.160000,1,46,97
airland10,2,3,1166.160000,1,47,96
airland10,2,3,1166.160000,1,48,102
airland10,2,3,1166.160000,1,49,100
airland10,2,3,1166.160000,1,50,101
airland10,2,3,1166.160000,1,51,103
airland10,2,3,1166.160000,1,52,105
airland10,2,3,1166.160000,1,53,107
airland10,2,3,1166.160000,1,54,106
airland10,2,3,1166.160000,1,55,111
airland10,2,3,1166.160000,1,56,116
airland10,2,3,1166.160000,1,57,121
airland10,2,3,1166.160000,1,58,117
airland10,2,3,1166.160000,1,59,120
airland10,2,3,1166.160000,1,60,118
airland10,2,3,1166.160000,1,61,123
airland10,2,3,1166.160000,1,62,124
airland10,2,3,1166.160000,1,63,126
airland10,2,3,1166.160000,1,64,128
airland10,2,3,1166.160000,1,65,131
airland10,2,3,1166.160000,1,66,130
airland10,2,3,1166.160000,1,67,133
airland10,2,3,1166.160000,1,68,134
airland10,2,3,1166.160000,1,69,138
airland10,2,3,1166.160000,1,70,136
airland10,2,3,1166.160000,1,71,140
airland10,2,3,1166.160000,1,72,146
airland10,2,3,1166.160000,1,73,149
airland10,2,3,1166.160000,1,74,147
airland10,2,3,1166.160000,1,75,148
airland10,2,3,1166.160000,2,1,2
airland10,2,3,1166.160000,2,2,0
airland10,2,3,1166.160000,2,3,3
airland10,2,3,1166.160000,2,4,8
airland10,2,3,1166.160000,2,5,4
airland10,2,3,1166.160000,2,6,9
airland10,2,3,1166.160000,2,7,10
airland10,2,3,1166.160000,2,8,15
airland10,2,3,1166.160000,2,9,13
airland10,2,3,1166.160000,2,10,17
airland10,2,3,1166.160000,2,11,19
airland10,2,3,1166.160000,2,12,21
airland10,2,3,1166.160000,2,13,25
airland10,2,3,1166.160000,2,14,27
airland10,2,3,1166.160000,2,15,26
airland10,2,3,1166.160000,2,16,29
airland10,2,3,1166.160000,2,17,32
airland10,2,3,1166.160000,2,18,31
airland10,2,3,1166.160000,2,19,33
airland10,2,3,1166.160000,2,20,36
airland10,2,3,1166.160000,2,21,38
airland10,2,3,1166.160000,2,22,40
airland10,2,3,1166.160000,2,23,42
airland10,2,3,1166.160000,2,24,44
airland10,2,3,1166.160000,2,25,47
airland10,2,3,1166.160000,2,26,46
airland10,2,3,1166.160000,2,27,50
airland10,2,3,1166.160000,2,28,51
airland10,2,3,1166.160000,2,29,49
airland10,2,3,1166.160000,2,30,53
airland10,2,3,1166.160000,2,31,54
airland10,2,3,1166.160000,2,32,58
airland10,2,3,1166.160000,2,33,62
airland10,2,3,1166.160000,2,34,59
airland10,2,3,1166.160000,2,35,67
airland10,2,3,1166.160000,2,36,61
airland10,2,3,1166.160000,2,37,69
airland10,2,3,1166.160000,2,38,71
airland10,2,3,1166.160000,2,39,72
airland10,2,3,1166.160000,2,40,77
airland10,2,3,1166.160000,2,41,75
airland10,2,3,1166.160000,2,42,74
airland10,2,3,1166.160000,2,43,79
airland10,2,3,1166.160000,2,44,81
airland10,2,3,1166.160000,2,45,84
airland10,2,3,1166.160000,2,46,86
airland10,2,3,1166.160000,2,47,88
airland10,2,3,1166.160000,2,48,89
airland10,2,3,1166.160000,2,49,91
airland10,2,3,1166.160000,2,50,92
airland10,2,3,1166.160000,2,51,95
airland10,2,3,1166.160000,2,52,98
airland10,2,3,1166.160000,2,53,99
airland10,2,3,1166.160000,2,54,104
airland10,2,3,1166.160000,2,55,108
airland10,2,3,1166.160000,2,56,109
airland10,2,3,1166.160000,2,57,110
airland10,2,3,1166.160000,2,58,113
airland10,2,3,1166.160000,2,59,112
airland10,2,3,1166.160000,2,60,114
airland10,2,3,1166.160000,2,61,115
airland10,2,3,1166.160000,2,62,119
airland10,2,3,1166.160000,2,63,122
airland10,2,3,1166.160000,2,64,125
airland10,2,3,1166.160000,2,65,127
airland10,2,3,1166.160000,2,66,132
airland10,2,3,1166.160000,2,67,129
airland10,2,3,1166.160000,2,68,137
airland10,2,3,1166.160000,2,69,135
airland10,2,3,1166.160000,2,70,139
airland10,2,3,1166.160000,2,71,141
airland10,2,3,1166.160000,2,72,142
airland10,2,3,1166.160000,2,73,143
airland10,2,3,1166.160000,2,74,144
airland10,2,3,1166.160000,2,75,145
airland10,2,4,1170.660000,1,1,2
airland10,2,4,1170.660000,1,2,0
airland10,2,4,1170.660000,1,3,3
airland10,2,4,1170.660000,1,4,8
airland10,2,4,1170.660000,1,5,4
airland10,2,4,1170.660000,1,6,10
airland10,2,4,1170.660000,1,7,16
airland10,2,4,1170.660000,1,8,17
airland10,2,4,1170.660000,1,9,23
airland10,2,4,1170.660000,1,10,21
airland10,2,4,1170.660000,1,11,22
airland10,2,4,1170.660000,1,12,27
airland10,2,4,1170.660000,1,13,29
airland10,2,4,1170.660000,1,14,32
airland10,2,4,1170.660000,1,15,35
airland10,2,4,1170.660000,1,16,34
airland10,2,4,1170.660000,1,17,39
airland10,2,4,1170.660000,1,18,42
airland10,2,4,1170.660000,1,19,43
airland10,2,4,1170.660000,1,20,45
airland10,2,4,1170.660000,1,21,46
airland10,2,4,1170.660000,1,22,50
airland10,2,4,1170.660000,1,23,51
airland10,2,4,1170.660000,1,24,49
airland10,2,4,1170.660000,1,25,53
airland10,2,4,1170.660000,1,26,63
airland10,2,4,1170.660000,1,27,65
airland10,2,4,1170.660000,1,28,57
airland10,2,4,1170.660000,1,29,60
airland10,2,4,1170.660000,1,30,61
airland10,2,4,1170.660000,1,31,69
airland10,2,4,1170.660000,1,32,71
airland10,2,4,1170.660000,1,33,72
airland10,2,4,1170.660000,1,34,70
airland10,2,4,1170.660000,1,35,78
airland10,2,4,1170.660000,1,36,73
airland10,2,4,1170.660000,1,37,74
airland10,2,4,1170.660000,1,38,79
airland10,2,4,1170.660000,1,39,81
airland10,2,4,1170.660000,1,40,83
airland10,2,4,1170.660000,1,41,85
airland10,2,4,1170.660000,1,42,87
airland10,2,4,1170.660000,1,43,89
airland10,2,4,1170.660000,1,44,90
airland10,2,4,1170.660000,1,45,91
airland10,2,4,1170.660000,1,46,92
airland10,2,4,1170.660000,1,47,96
airland10,2,4,1170.660000,1,48,98
airland10,2,4,1170.660000,1,49,99
airland10,2,4,1170.660000,1,50,104
airland10,2,4,1170.660000,1,51,108
airland10,2,4,1170.660000,1,52,109
airland10,2,4,1170.660000,1,53,106
airland10,2,4,1170.660000,1,54,111
airland10,2,4,1170.660000,1,55,112
airland10,2,4,1170.660000,1,56,116
airland10,2,4,1170.660000,1,57,121
airland10,2,4,1170.660000,1,58,115
airland10,2,4,1170.660000,1,59,119
airland10,2,4,1170.660000,1,60,122
airland10,2,4,1170.660000,1,61,123
airland10,2,4,1170.660000,1,62,125
airland10,2,4,1170.660000,1,63,127
airland10,2,4,1170.660000,1,64,131
airland10,2,4,1170.660000,1,65,132
airland10,2,4,1170.660000,1,66,129
airland10,2,4,1170.660000,1,67,137
airland10,2,4,1170.660000,1,68,135
airland10,2,4,1170.660000,1,69,140
airland10,2,4,1170.660000,1,70,142
airland10,2,4,1170.660000,1,71,144
airland10,2,4,1170.660000,1,72,146
airland10,2,4,1170.660000,1,73,149
airland10,2,4,1170.660000,1,74,147
airland10,2,4,1170.660000,1,75,148
airland10,2,4,1170.660000,2,1,5
airland10,2,4,1170.660000,2,2,1
airland10,2,4,1170.660000,2,3,7
airland10,2,4,1170.660000,2,4,6
airland10,2,4,1170.660000,2,5,9
airland10,2,4,1170.660000,2,6,11
airland10,2,4,1170.660000,2,7,12
airland10,2,4,1170.660000,2,8,14
airland10,2,4,1170.660000,2,9,15
airland10,2,4,1170.660000,2,10,13
airland10,2,4,1170.660000,2,11,18
airland10,2,4,1170.660000,2,12,19
airland10,2,4,1170.660000,2,13,20
airland10,2,4,1170.660000,2,14,25
airland10,2,4,1170.660000,2,15,24
airland10,2,4,1170.660000,2,16,26
airland10,2,4,1170.660000,2,17,28
airland10,2,4,1170.660000,2,18,30
airland10,2,4,1170.660000,2,19,31
airland10,2,4,1170.660000,2,20,33
airland10,2,4,1170.660000,2,21,36
airland10,2,4,1170.660000,2,22,37
airland10,2,4,1170.660000,2,23,38
airland10,2,4,1170.660000,2,24,40
airland10,2,4,1170.660000,2,25,41
airland10,2,4,1170.660000,2,26,44
airland10,2,4,1170.660000,2,27,47
airland10,2,4,1170.660000,2,28,48
airland10,2,4,1170.660000,2,29,52
airland10,2,4,1170.660000,2,30,54
airland10,2,4,1170.660000,2,31,55
airland10,2,4,1170.660000,2,32,56
airland10,2,4,1170.660000,2,33,58
airland10,2,4,1170.660000,2,34,62
airland10,2,4,1170.660000,2,35,59
airland10,2,4,1170.660000,2,36,67
airland10,2,4,1170.660000,2,37,64
airland10,2,4,1170.660000,2,38,68
airland10,2,4,1170.660000,2,39,66
airland10,2,4,1170.660000,2,40,77
airland10,2,4,1170.660000,2,41,75
airland10,2,4,1170.660000,2,42,76
airland10,2,4,1170.660000,2,43,80
airland10,2,4,1170.660000,2,44,82
airland10,2,4,1170.660000,2,45,84
airland10,2,4,1170.660000,2,46,86
airland10,2,4,1170.660000,2,47,88
airland10,2,4,1170.660000,2,48,94
airland10,2,4,1170.660000,2,49,93
airland10,2,4,1170.660000,2,50,95
airland10,2,4,1170.660000,2,51,97
airland10,2,4,1170.660000,2,52,102
airland10,2,4,1170.660000,2,53,100
airland10,2,4,1170.660000,2,54,101
airland10,2,4,1170.660000,2,55,103
airland10,2,4,1170.660000,2,56,105
airland10,2,4,1170.660000,2,57,107
airland10,2,4,1170.660000,2,58,110
airland10,2,4,1170.660000,2,59,113
airland10,2,4,1170.660000,2,60,114
airland10,2,4,1170.660000,2,61,117
airland10,2,4,1170.660000,2,62,120
airland10,2,4,1170.660000,2,63,118
airland10,2,4,1170.660000,2,64,124
airland10,2,4,1170.660000,2,65,126
airland10,2,4,1170.660000,2,66,128
airland10,2,4,1170.660000,2,67,130
airland10,2,4,1170.660000,2,68,133
airland10,2,4,1170.660000,2,69,134
airland10,2,4,1170.660000,2,70,138
airland10,2,4,1170.660000,2,71,136
airland10,2,4,1170.660000,2,72,139
airland10,2,4,1170.660000,2,73,141
airland10,2,4,1170.660000,2,74,143
airland10,2,4,1170.660000,2,75,145
airland10,2,5,1173.240000,1,1,2
airland10,2,5,1173.240000,1,2,0
airland10,2,5,1173.240000,1,3,3
airland10,2,5,1173.240000,1,4,8
airland10,2,5,1173.240000,1,5,4
airland10,2,5,1173.240000,1,6,11
airland10,2,5,1173.240000,1,7,12
airland10,2,5,1173.240000,1,8,16
airland10,2,5,1173.240000,1,9,17
airland10,2,5,1173.240000,1,10,23
airland10,2,5,1173.240000,1,11,21
airland10,2,5,1173.240000,1,12,25
airland10,2,5,1173.240000,1,13,27
airland10,2,5,1173.240000,1,14,29
airland10,2,5,1173.240000,1,15,32
airland10,2,5,1173.240000,1,16,31
airland10,2,5,1173.240000,1,17,33
airland10,2,5,1173.240000,1,18,36
airland10,2,5,1173.240000,1,19,37
airland10,2,5,1173.240000,1,20,39
airland10,2,5,1173.240000,1,21,42
airland10,2,5,1173.240000,1,22,44
airland10,2,5,1173.240000,1,23,47
airland10,2,5,1173.240000,1,24,50
airland10,2,5,1173.240000,1,25,51
airland10,2,5,1173.240000,1,26,49
airland10,2,5,1173.240000,1,27,52
airland10,2,5,1173.240000,1,28,58
airland10,2,5,1173.240000,1,29,62
airland10,2,5,1173.240000,1,30,57
airland10,2,5,1173.240000,1,31,60
airland10,2,5,1173.240000,1,32,61
airland10,2,5,1173.240000,1,33,69
airland10,2,5,1173.240000,1,34,71
airland10,2,5,1173.240000,1,35,66
airland10,2,5,1173.240000,1,36,70
airland10,2,5,1173.240000,1,37,78
airland10,2,5,1173.240000,1,38,73
airland10,2,5,1173.240000,1,39,76
airland10,2,5,1173.240000,1,40,80
