instance,m,rho,position,aircraft_j
airland10,4,1,1,5
airland10,4,1,2,7
airland10,4,1,3,11
airland10,4,1,4,15
airland10,4,1,5,17
airland10,4,1,6,20
airland10,4,1,7,25
airland10,4,1,8,24
airland10,4,1,9,27
airland10,4,1,10,36
airland10,4,1,11,39
airland10,4,1,12,42
airland10,4,1,13,47
airland10,4,1,14,46
airland10,4,1,15,49
airland10,4,1,16,53
airland10,4,1,17,54
airland10,4,1,18,58
airland10,4,1,19,65
airland10,4,1,20,69
airland10,4,1,21,73
airland10,4,1,22,86
airland10,4,1,23,88
airland10,4,1,24,94
airland10,4,1,25,93
airland10,4,1,26,96
airland10,4,1,27,102
airland10,4,1,28,105
airland10,4,1,29,110
airland10,4,1,30,113
airland10,4,1,31,115
airland10,4,1,32,122
airland10,4,1,33,131
airland10,4,1,34,133
airland10,4,1,35,139
airland10,4,1,36,149
airland10,4,1,37,148
airland10,4,2,1,3
airland10,4,2,2,8
airland10,4,2,3,10
airland10,4,2,4,14
airland10,4,2,5,18
airland10,4,2,6,19
airland10,4,2,7,21
airland10,4,2,8,26
airland10,4,2,9,29
airland10,4,2,10,28
airland10,4,2,11,33
airland10,4,2,12,34
airland10,4,2,13,37
airland10,4,2,14,40
airland10,4,2,15,41
airland10,4,2,16,45
airland10,4,2,17,50
airland10,4,2,18,52
airland10,4,2,19,57
airland10,4,2,20,60
airland10,4,2,21,64
airland10,4,2,22,71
airland10,4,2,23,72
airland10,4,2,24,77
airland10,4,2,25,91
airland10,4,2,26,95
airland10,4,2,27,97
airland10,4,2,28,100
airland10,4,2,29,108
airland10,4,2,30,107
airland10,4,2,31,112
airland10,4,2,32,117
airland10,4,2,33,123
airland10,4,2,34,130
airland10,4,2,35,134
airland10,4,2,36,141
airland10,4,2,37,143
airland10,4,2,38,147
airland10,4,3,1,2
airland10,4,3,2,6
airland10,4,3,3,12
airland10,4,3,4,13
airland10,4,3,5,30
airland10,4,3,6,43
airland10,4,3,7,48
airland10,4,3,8,62
airland10,4,3,9,59
airland10,4,3,10,68
airland10,4,3,11,78
airland10,4,3,12,76
airland10,4,3,13,80
airland10,4,3,14,83
airland10,4,3,15,84
airland10,4,3,16,85
airland10,4,3,17,87
airland10,4,3,18,89
airland10,4,3,19,92
airland10,4,3,20,98
airland10,4,3,21,101
airland10,4,3,22,103
airland10,4,3,23,109
airland10,4,3,24,106
airland10,4,3,25,116
airland10,4,3,26,121
airland10,4,3,27,119
airland10,4,3,28,125
airland10,4,3,29,127
airland10,4,3,30,132
airland10,4,3,31,129
airland10,4,3,32,137
airland10,4,3,33,138
airland10,4,3,34,136
airland10,4,3,35,140
airland10,4,3,36,142
airland10,4,3,37,144
airland10,4,3,38,145
airland10,4,4,1,0
airland10,4,4,2,1
airland10,4,4,3,4
airland10,4,4,4,9
airland10,4,4,5,16
airland10,4,4,6,23
airland10,4,4,7,22
airland10,4,4,8,32
airland10,4,4,9,31
airland10,4,4,10,35
airland10,4,4,11,38
airland10,4,4,12,44
airland10,4,4,13,51
airland10,4,4,14,55
airland10,4,4,15,56
airland10,4,4,16,63
airland10,4,4,17,67
airland10,4,4,18,61
airland10,4,4,19,66
airland10,4,4,20,70
airland10,4,4,21,75
airland10,4,4,22,74
airland10,4,4,23,79
airland10,4,4,24,81
airland10,4,4,25,82
airland10,4,4,26,90
airland10,4,4,27,99
airland10,4,4,28,104
airland10,4,4,29,111
airland10,4,4,30,114
airland10,4,4,31,120
airland10,4,4,32,118
airland10,4,4,33,124
airland10,4,4,34,126
airland10,4,4,35,128
airland10,4,4,36,135
airland10,4,4,37,146
airland10,5,1,1,2
airland10,5,1,2,8
airland10,5,1,3,11
airland10,5,1,4,16
airland10,5,1,5,19
airland10,5,1,6,24
airland10,5,1,7,32
airland10,5,1,8,35
airland10,5,1,9,40
airland10,5,1,10,44
airland10,5,1,11,48
airland10,5,1,12,55
airland10,5,1,13,65
airland10,5,1,14,61
airland10,5,1,15,66
airland10,5,1,16,75
airland10,5,1,17,80
airland10,5,1,18,85
airland10,5,1,19,90
airland10,5,1,20,95
airland10,5,1,21,100
airland10,5,1,22,108
airland10,5,1,23,106
airland10,5,1,24,121
airland10,5,1,25,119
airland10,5,1,26,125
airland10,5,1,27,132
airland10,5,1,28,134
airland10,5,1,29,140
airland10,5,1,30,145
airland10,5,2,1,5
airland10,5,2,2,7
airland10,5,2,3,10
airland10,5,2,4,13
airland10,5,2,5,21
airland10,5,2,6,27
airland10,5,2,7,30
airland10,5,2,8,34
airland10,5,2,9,42
airland10,5,2,10,47
airland10,5,2,11,49
airland10,5,2,12,56
airland10,5,2,13,57
airland10,5,2,14,64
airland10,5,2,15,72
airland10,5,2,16,73
airland10,5,2,17,81
airland10,5,2,18,86
airland10,5,2,19,91
airland10,5,2,20,97
airland10,5,2,21,101
airland10,5,2,22,105
airland10,5,2,23,113
airland10,5,2,24,114
airland10,5,2,25,118
airland10,5,2,26,126
airland10,5,2,27,129
airland10,5,2,28,138
airland10,5,2,29,141
airland10,5,2,30,146
airland10,5,3,1,0
airland10,5,3,2,6
airland10,5,3,3,12
airland10,5,3,4,18
airland10,5,3,5,20
airland10,5,3,6,26
airland10,5,3,7,31
airland10,5,3,8,37
airland10,5,3,9,41
airland10,5,3,10,46
airland10,5,3,11,52
airland10,5,3,12,58
airland10,5,3,13,59
airland10,5,3,14,69
airland10,5,3,15,70
airland10,5,3,16,74
airland10,5,3,17,82
airland10,5,3,18,87
airland10,5,3,19,94
airland10,5,3,20,96
airland10,5,3,21,99
airland10,5,3,22,109
airland10,5,3,23,111
airland10,5,3,24,117
airland10,5,3,25,122
airland10,5,3,26,127
airland10,5,3,27,130
airland10,5,3,28,135
airland10,5,3,29,142
airland10,5,3,30,149
airland10,5,4,1,3
airland10,5,4,2,4
airland10,5,4,3,14
airland10,5,4,4,17
airland10,5,4,5,22
airland10,5,4,6,29
airland10,5,4,7,33
airland10,5,4,8,38
airland10,5,4,9,43
airland10,5,4,10,50
airland10,5,4,11,53
airland10,5,4,12,63
airland10,5,4,13,67
airland10,5,4,14,68
airland10,5,4,15,77
airland10,5,4,16,76
airland10,5,4,17,83
airland10,5,4,18,88
airland10,5,4,19,92
airland10,5,4,20,98
airland10,5,4,21,103
airland10,5,4,22,107
airland10,5,4,23,112
airland10,5,4,24,115
airland10,5,4,25,123
airland10,5,4,26,128
airland10,5,4,27,137
airland10,5,4,28,136
airland10,5,4,29,143
airland10,5,4,30,147
airland10,5,5,1,1
airland10,5,5,2,9
airland10,5,5,3,15
airland10,5,5,4,23
airland10,5,5,5,25
airland10,5,5,6,28
airland10,5,5,7,36
airland10,5,5,8,39
airland10,5,5,9,45
airland10,5,5,10,51
airland10,5,5,11,54
airland10,5,5,12,62
airland10,5,5,13,60
airland10,5,5,14,71
airland10,5,5,15,78
airland10,5,5,16,79
airland10,5,5,17,84
airland10,5,5,18,89
airland10,5,5,19,93
airland10,5,5,20,102
airland10,5,5,21,104
airland10,5,5,22,110
airland10,5,5,23,116
airland10,5,5,24,120
airland10,5,5,25,124
airland10,5,5,26,131
airland10,5,5,27,133
airland10,5,5,28,139
airland10,5,5,29,144
airland10,5,5,30,148
airland11,2,1,1,2
airland11,2,1,2,7
airland11,2,1,3,3
airland11,2,1,4,9
airland11,2,1,5,6
airland11,2,1,6,12
airland11,2,1,7,13
airland11,2,1,8,14
airland11,2,1,9,18
airland11,2,1,10,15
airland11,2,1,11,22
airland11,2,1,12,21
airland11,2,1,13,26
airland11,2,1,14,29
airland11,2,1,15,32
airland11,2,1,16,33
airland11,2,1,17,36
airland11,2,1,18,34
airland11,2,1,19,39
airland11,2,1,20,41
airland11,2,1,21,46
airland11,2,1,22,47
airland11,2,1,23,50
airland11,2,1,24,51
airland11,2,1,25,53
airland11,2,1,26,56
airland11,2,1,27,57
airland11,2,1,28,62
airland11,2,1,29,58
airland11,2,1,30,63
airland11,2,1,31,64
airland11,2,1,32,69
airland11,2,1,33,71
airland11,2,1,34,73
airland11,2,1,35,79
airland11,2,1,36,78
airland11,2,1,37,80
airland11,2,1,38,77
airland11,2,1,39,83
airland11,2,1,40,82
airland11,2,1,41,87
airland11,2,1,42,90
airland11,2,1,43,88
airland11,2,1,44,94
airland11,2,1,45,97
airland11,2,1,46,95
airland11,2,1,47,98
airland11,2,1,48,99
airland11,2,1,49,100
airland11,2,1,50,101
airland11,2,1,51,105
airland11,2,1,52,109
airland11,2,1,53,108
airland11,2,1,54,111
airland11,2,1,55,113
airland11,2,1,56,116
airland11,2,1,57,118
airland11,2,1,58,119
airland11,2,1,59,120
airland11,2,1,60,122
airland11,2,1,61,127
airland11,2,1,62,126
airland11,2,1,63,128
airland11,2,1,64,133
airland11,2,1,65,136
airland11,2,1,66,139
airland11,2,1,67,138
airland11,2,1,68,140
airland11,2,1,69,144
airland11,2,1,70,143
airland11,2,1,71,152
airland11,2,1,72,148
airland11,2,1,73,149
airland11,2,1,74,156
airland11,2,1,75,158
airland11,2,1,76,157
airland11,2,1,77,159
airland11,2,1,78,163
airland11,2,1,79,160
airland11,2,1,80,165
airland11,2,1,81,164
airland11,2,1,82,169
airland11,2,1,83,170
airland11,2,1,84,167
airland11,2,1,85,171
airland11,2,1,86,174
airland11,2,1,87,173
airland11,2,1,88,175
airland11,2,1,89,176
airland11,2,1,90,177
airland11,2,1,91,181
airland11,2,1,92,179
airland11,2,1,93,184
airland11,2,1,94,182
airland11,2,1,95,185
airland11,2,1,96,188
airland11,2,1,97,189
airland11,2,1,98,193
airland11,2,1,99,194
airland11,2,1,100,196
airland11,2,2,1,0
airland11,2,2,2,4
airland11,2,2,3,1
airland11,2,2,4,5
airland11,2,2,5,10
airland11,2,2,6,8
airland11,2,2,7,11
airland11,2,2,8,16
airland11,2,2,9,17
airland11,2,2,10,20
airland11,2,2,11,19
airland11,2,2,12,23
airland11,2,2,13,24
airland11,2,2,14,28
airland11,2,2,15,27
airland11,2,2,16,30
airland11,2,2,17,25
airland11,2,2,18,31
airland11,2,2,19,37
airland11,2,2,20,35
airland11,2,2,21,38
airland11,2,2,22,42
airland11,2,2,23,43
airland11,2,2,24,40
airland11,2,2,25,44
airland11,2,2,26,45
airland11,2,2,27,48
airland11,2,2,28,49
airland11,2,2,29,52
airland11,2,2,30,54
airland11,2,2,31,55
airland11,2,2,32,60
airland11,2,2,33,59
airland11,2,2,34,61
airland11,2,2,35,65
airland11,2,2,36,67
airland11,2,2,37,68
airland11,2,2,38,66
airland11,2,2,39,70
airland11,2,2,40,72
airland11,2,2,41,74
airland11,2,2,42,76
airland11,2,2,43,75
airland11,2,2,44,81
airland11,2,2,45,85
airland11,2,2,46,84
airland11,2,2,47,86
airland11,2,2,48,91
airland11,2,2,49,89
airland11,2,2,50,93
airland11,2,2,51,92
airland11,2,2,52,96
airland11,2,2,53,102
airland11,2,2,54,103
airland11,2,2,55,104
airland11,2,2,56,106
airland11,2,2,57,107
airland11,2,2,58,110
airland11,2,2,59,112
airland11,2,2,60,114
airland11,2,2,61,115
airland11,2,2,62,117
airland11,2,2,63,124
airland11,2,2,64,121
airland11,2,2,65,123
airland11,2,2,66,125
airland11,2,2,67,129
airland11,2,2,68,131
airland11,2,2,69,130
airland11,2,2,70,132
airland11,2,2,71,134
airland11,2,2,72,135
airland11,2,2,73,137
airland11,2,2,74,141
airland11,2,2,75,142
airland11,2,2,76,145
airland11,2,2,77,150
airland11,2,2,78,146
airland11,2,2,79,147
airland11,2,2,80,151
airland11,2,2,81,153
airland11,2,2,82,154
airland11,2,2,83,155
airland11,2,2,84,161
airland11,2,2,85,162
airland11,2,2,86,168
airland11,2,2,87,166
airland11,2,2,88,172
airland11,2,2,89,178
airland11,2,2,90,183
airland11,2,2,91,180
airland11,2,2,92,187
airland11,2,2,93,186
airland11,2,2,94,190
airland11,2,2,95,191
airland11,2,2,96,192
airland11,2,2,97,195
airland11,2,2,98,197
airland11,2,2,99,198
airland11,2,2,100,199
airland11,3,1,1,5
airland11,3,1,2,6
airland11,3,1,3,17
airland11,3,1,4,21
airland11,3,1,5,32
airland11,3,1,6,43
airland11,3,1,7,44
airland11,3,1,8,54
airland11,3,1,9,56
airland11,3,1,10,59
airland11,3,1,11,63
airland11,3,1,12,64
airland11,3,1,13,69
airland11,3,1,14,68
airland11,3,1,15,72
airland11,3,1,16,75
airland11,3,1,17,82
airland11,3,1,18,84
airland11,3,1,19,86
airland11,3,1,20,91
airland11,3,1,21,94
airland11,3,1,22,95
airland11,3,1,23,99
airland11,3,1,24,100
airland11,3,1,25,101
airland11,3,1,26,103
airland11,3,1,27,104
airland11,3,1,28,106
airland11,3,1,29,110
airland11,3,1,30,114
airland11,3,1,31,115
airland11,3,1,32,118
airland11,3,1,33,119
airland11,3,1,34,127
airland11,3,1,35,125
airland11,3,1,36,128
airland11,3,1,37,132
airland11,3,1,38,135
airland11,3,1,39,137
airland11,3,1,40,142
airland11,3,1,41,145
airland11,3,1,42,143
airland11,3,1,43,150
airland11,3,1,44,149
airland11,3,1,45,151
airland11,3,1,46,153
airland11,3,1,47,156
airland11,3,1,48,155
airland11,3,1,49,161
airland11,3,1,50,160
airland11,3,1,51,164
airland11,3,1,52,169
airland11,3,1,53,167
airland11,3,1,54,173
airland11,3,1,55,177
airland11,3,1,56,181
airland11,3,1,57,180
airland11,3,1,58,187
airland11,3,1,59,188
airland11,3,1,60,190
airland11,3,1,61,192
airland11,3,1,62,194
airland11,3,1,63,196
airland11,3,1,64,198
airland11,3,2,1,2
airland11,3,2,2,4
airland11,3,2,3,1
airland11,3,2,4,10
airland11,3,2,5,11
airland11,3,2,6,12
airland11,3,2,7,14
airland11,3,2,8,16
airland11,3,2,9,22
airland11,3,2,10,24
airland11,3,2,11,27
airland11,3,2,12,30
airland11,3,2,13,25
airland11,3,2,14,29
airland11,3,2,15,33
airland11,3,2,16,37
airland11,3,2,17,35
airland11,3,2,18,38
airland11,3,2,19,39
airland11,3,2,20,42
airland11,3,2,21,46
airland11,3,2,22,45
airland11,3,2,23,48
airland11,3,2,24,49
airland11,3,2,25,51
airland11,3,2,26,55
airland11,3,2,27,57
airland11,3,2,28,60
airland11,3,2,29,61
airland11,3,2,30,65
airland11,3,2,31,67
airland11,3,2,32,71
airland11,3,2,33,74
airland11,3,2,34,76
airland11,3,2,35,78
airland11,3,2,36,80
airland11,3,2,37,85
airland11,3,2,38,87
airland11,3,2,39,88
airland11,3,2,40,89
airland11,3,2,41,92
airland11,3,2,42,96
airland11,3,2,43,102
airland11,3,2,44,107
airland11,3,2,45,111
airland11,3,2,46,113
airland11,3,2,47,121
airland11,3,2,48,120
airland11,3,2,49,123
airland11,3,2,50,126
airland11,3,2,51,131
airland11,3,2,52,130
airland11,3,2,53,134
airland11,3,2,54,136
airland11,3,2,55,140
airland11,3,2,56,152
airland11,3,2,57,148
airland11,3,2,58,154
airland11,3,2,59,157
airland11,3,2,60,163
airland11,3,2,61,162
airland11,3,2,62,165
airland11,3,2,63,168
airland11,3,2,64,170
airland11,3,2,65,172
airland11,3,2,66,183
airland11,3,2,67,179
airland11,3,2,68,186
airland11,3,2,69,193
airland11,3,3,1,0
airland11,3,3,2,7
airland11,3,3,3,3
airland11,3,3,4,9
airland11,3,3,5,8
airland11,3,3,6,13
airland11,3,3,7,18
airland11,3,3,8,15
airland11,3,3,9,20
airland11,3,3,10,19
airland11,3,3,11,23
airland11,3,3,12,28
airland11,3,3,13,26
airland11,3,3,14,31
airland11,3,3,15,36
airland11,3,3,16,34
airland11,3,3,17,41
airland11,3,3,18,40
airland11,3,3,19,47
airland11,3,3,20,50
airland11,3,3,21,52
airland11,3,3,22,53
airland11,3,3,23,62
airland11,3,3,24,58
airland11,3,3,25,66
airland11,3,3,26,70
airland11,3,3,27,73
airland11,3,3,28,79
airland11,3,3,29,81
airland11,3,3,30,77
airland11,3,3,31,83
airland11,3,3,32,90
airland11,3,3,33,93
airland11,3,3,34,97
airland11,3,3,35,98
airland11,3,3,36,105
airland11,3,3,37,109
airland11,3,3,38,108
airland11,3,3,39,112
airland11,3,3,40,116
airland11,3,3,41,117
airland11,3,3,42,124
airland11,3,3,43,122
airland11,3,3,44,129
airland11,3,3,45,133
airland11,3,3,46,139
airland11,3,3,47,138
airland11,3,3,48,141
airland11,3,3,49,144
airland11,3,3,50,146
airland11,3,3,51,147
airland11,3,3,52,158
airland11,3,3,53,159
airland11,3,3,54,166
airland11,3,3,55,171
airland11,3,3,56,174
airland11,3,3,57,175
airland11,3,3,58,176
airland11,3,3,59,178
airland11,3,3,60,184
airland11,3,3,61,182
airland11,3,3,62,185
airland11,3,3,63,191
airland11,3,3,64,189
airland11,3,3,65,195
airland11,3,3,66,197
airland11,3,3,67,199
airland11,4,1,1,2
airland11,4,1,2,1
airland11,4,1,3,10
airland11,4,1,4,12
airland11,4,1,5,16
airland11,4,1,6,22
airland11,4,1,7,24
airland11,4,1,8,26
airland11,4,1,9,32
airland11,4,1,10,35
airland11,4,1,11,41
airland11,4,1,12,44
airland11,4,1,13,47
airland11,4,1,14,51
airland11,4,1,15,55
airland11,4,1,16,59
airland11,4,1,17,65
airland11,4,1,18,68
airland11,4,1,19,72
airland11,4,1,20,79
airland11,4,1,21,81
airland11,4,1,22,82
airland11,4,1,23,91
airland11,4,1,24,94
airland11,4,1,25,95
airland11,4,1,26,100
airland11,4,1,27,105
airland11,4,1,28,107
airland11,4,1,29,112
airland11,4,1,30,116
airland11,4,1,31,124
airland11,4,1,32,123
airland11,4,1,33,129
airland11,4,1,34,130
airland11,4,1,35,136
airland11,4,1,36,141
airland11,4,1,37,145
airland11,4,1,38,146
airland11,4,1,39,151
airland11,4,1,40,158
airland11,4,1,41,163
airland11,4,1,42,165
airland11,4,1,43,166
airland11,4,1,44,171
airland11,4,1,45,176
airland11,4,1,46,183
airland11,4,1,47,187
airland11,4,1,48,188
airland11,4,1,49,193
airland11,4,1,50,197
airland11,4,2,1,0
airland11,4,2,2,3
airland11,4,2,3,6
airland11,4,2,4,13
airland11,4,2,5,17
airland11,4,2,6,19
airland11,4,2,7,28
airland11,4,2,8,25
airland11,4,2,9,33
airland11,4,2,10,38
airland11,4,2,11,42
airland11,4,2,12,46
airland11,4,2,13,50
airland11,4,2,14,54
airland11,4,2,15,57
airland11,4,2,16,58
airland11,4,2,17,64
airland11,4,2,18,66
airland11,4,2,19,73
airland11,4,2,20,75
airland11,4,2,21,77
airland11,4,2,22,84
airland11,4,2,23,90
airland11,4,2,24,93
airland11,4,2,25,96
airland11,4,2,26,101
airland11,4,2,27,104
airland11,4,2,28,108
airland11,4,2,29,113
airland11,4,2,30,118
airland11,4,2,31,121
airland11,4,2,32,127
airland11,4,2,33,128
airland11,4,2,34,132
airland11,4,2,35,139
airland11,4,2,36,142
airland11,4,2,37,143
airland11,4,2,38,149
airland11,4,2,39,153
airland11,4,2,40,155
airland11,4,2,41,161
airland11,4,2,42,164
airland11,4,2,43,170
airland11,4,2,44,174
airland11,4,2,45,177
airland11,4,2,46,179
airland11,4,2,47,186
airland11,4,2,48,190
airland11,4,2,49,192
airland11,4,2,50,196
airland11,4,3,1,4
airland11,4,3,2,5
airland11,4,3,3,8
airland11,4,3,4,14
airland11,4,3,5,15
airland11,4,3,6,21
airland11,4,3,7,27
airland11,4,3,8,31
airland11,4,3,9,37
airland11,4,3,10,34
airland11,4,3,11,43
airland11,4,3,12,45
airland11,4,3,13,49
airland11,4,3,14,53
airland11,4,3,15,60
airland11,4,3,16,61
airland11,4,3,17,69
airland11,4,3,18,71
airland11,4,3,19,74
airland11,4,3,20,78
airland11,4,3,21,83
airland11,4,3,22,86
airland11,4,3,23,88
airland11,4,3,24,97
airland11,4,3,25,98
airland11,4,3,26,102
airland11,4,3,27,106
airland11,4,3,28,110
airland11,4,3,29,114
airland11,4,3,30,117
airland11,4,3,31,120
airland11,4,3,32,125
airland11,4,3,33,131
airland11,4,3,34,134
airland11,4,3,35,137
airland11,4,3,36,140
airland11,4,3,37,150
airland11,4,3,38,148
airland11,4,3,39,156
airland11,4,3,40,157
airland11,4,3,41,160
airland11,4,3,42,168
airland11,4,3,43,167
